order;n;avg_time_sec;gflops
i,j,k;100;0,001215;1,646693
i,k,j;100;0,000196;10,213294
k,i,j;100;0,000231;8,639928
k,j,i;100;0,001311;1,525316
j,i,k;100;0,001053;1,898790
j,k,i;100;0,001307;1,530696
i,j,k;400;0,079489;1,610290
i,k,j;400;0,013832;9,254187
k,i,j;400;0,016218;7,892455
k,j,i;400;0,130578;0,980260
j,i,k;400;0,077031;1,661660
j,k,i;400;0,133629;0,957873
i,j,k;700;0,759114;0,903685
i,k,j;700;0,097637;7,026035
k,i,j;700;0,134664;5,094173
k,j,i;700;0,988814;0,693760
j,i,k;700;0,440060;1,558877
j,k,i;700;1,035680;0,662367
i,j,k;1000;1,433594;1,395095
i,k,j;1000;0,417568;4,789635
k,i,j;1000;0,808132;2,474845
k,j,i;1000;3,620244;0,552449
j,i,k;1000;0,872945;2,291094
j,k,i;1000;3,231174;0,618970
i,j,k;1500;7,197229;0,937861
i,k,j;1500;1,277746;5,282739
k,i,j;1500;2,672999;2,525254
k,j,i;1500;17,736137;0,380579
j,i,k;1500;3,167131;2,131267
j,k,i;1500;17,789878;0,379429
